,CustomerID,recency,frequency,monetary
0,12346.0,326,2,0.0
1,12347.0,2,7,4310.0
2,12348.0,75,4,1797.24
3,12349.0,19,1,1757.55
4,12350.0,310,1,334.4
5,12352.0,36,11,1545.41
6,12353.0,204,1,89.0
7,12354.0,232,1,1079.4
8,12355.0,214,1,459.4
9,12356.0,23,3,2811.43
10,12357.0,33,1,6207.67
11,12358.0,2,2,1168.06
12,12359.0,8,6,6245.53
13,12360.0,52,3,2662.06
14,12361.0,287,1,189.9
15,12362.0,3,13,5154.58
16,12363.0,110,2,552.0
17,12364.0,8,4,1313.1
18,12365.0,291,3,320.69
19,12367.0,4,1,168.9
20,12370.0,51,4,3545.69
21,12371.0,45,2,1887.96
22,12372.0,72,3,1298.04
23,12373.0,311,1,364.6
24,12374.0,25,1,742.9300000000001
25,12375.0,3,3,455.42
26,12377.0,315,2,1628.12
27,12378.0,130,1,4008.62
28,12379.0,82,3,850.29
29,12380.0,22,5,2720.56
30,12381.0,5,6,1803.96
31,12383.0,185,6,1839.31
32,12384.0,29,3,566.16
33,12386.0,338,2,401.9
34,12388.0,16,6,2780.66
35,12390.0,80,1,549.84
36,12391.0,22,1,460.89
37,12393.0,72,4,1582.6000000000001
38,12394.0,64,2,1272.48
39,12395.0,16,15,2998.28
40,12397.0,36,2,2409.9
41,12398.0,46,1,1635.6599999999999
42,12399.0,119,4,1108.65
43,12401.0,303,1,84.3
44,12402.0,323,1,225.6
45,12403.0,50,2,409.7
46,12405.0,149,1,1710.39
47,12406.0,22,3,3280.75
48,12407.0,50,5,1708.1200000000001
49,12408.0,33,9,2842.57
50,12409.0,79,7,11056.93
51,12410.0,301,3,681.0799999999999
52,12412.0,75,3,1226.88
53,12413.0,67,5,694.15
54,12414.0,217,3,562.41
55,12415.0,24,25,123725.45
56,12417.0,3,12,3578.8
57,12418.0,113,1,668.58
58,12420.0,64,1,600.39
59,12421.0,16,5,806.27
60,12422.0,96,3,803.5600000000001
61,12423.0,1,9,1849.11
62,12424.0,163,1,1760.96
63,12425.0,78,1,777.2
64,12426.0,195,1,582.73
65,12427.0,12,5,708.37
66,12428.0,26,12,7877.2
67,12429.0,9,4,3750.4
68,12430.0,43,1,256.4
69,12431.0,36,18,6416.39
70,12432.0,43,5,5059.32
71,12433.0,1,7,13375.87
